antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.038843571388935134,0.03895455302147494,0.027301481604794408,0.7028571428571428,18.043003663003663,1.0,0.02578834764358069,3.234287561946959,0.9827503904044295,0.5406593406593407,0.6908128974784093,0.7018559218559219,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  → PINK REGENCY TEACUP AND SAUCER"
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",0.03895455302147494,0.038843571388935134,0.027301481604794408,0.7008547008547009,18.043003663003663,1.0,0.02578834764358069,3.2130086327855603,0.9828638785261923,0.5406593406593407,0.6887652308817369,0.7018559218559219,PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER "
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.030242494867099495,0.05171744076355363,0.027301481604794408,0.9027522935779817,17.45547111863606,1.0,0.025737417167963114,9.751207448752142,0.9721104157711296,0.4994923857868021,0.8974485974936397,0.7153246446430681,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER  → GREEN REGENCY TEACUP AND SAUCER"
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.05171744076355363,0.030242494867099495,0.027301481604794408,0.5278969957081545,17.45547111863606,1.0,0.025737417167963114,2.054122715417871,0.9941249708008812,0.4994923857868021,0.5131741679821843,0.7153246446430681,GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER ","GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER "
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.05304922035403141,0.031962710171466624,0.027301481604794408,0.5146443514644352,16.101399058577407,1.0,0.025605884749796234,1.9944906230087889,0.9904354226665618,0.4730769230769231,0.4986188511172592,0.684405509065551,ROSES REGENCY TEACUP AND SAUCER ,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER  → GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER"
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.031962710171466624,0.05304922035403141,0.027301481604794408,0.8541666666666666,16.101399058577403,1.0,0.025605884749796234,6.493376774715212,0.9688610196506092,0.4730769230769231,0.8459969235276882,0.684405509065551,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER ,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER "
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05171744076355363,0.03895455302147494,0.031962710171466624,0.6180257510729614,15.865302079894358,1.0,0.029948080383107784,2.5159953836628803,0.9880698109895255,0.5444234404536863,0.6025429909397677,0.7192692857928911,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER → PINK REGENCY TEACUP AND SAUCER
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03895455302147494,0.05171744076355363,0.031962710171466624,0.8205128205128206,15.865302079894356,1.0,0.029948080383107784,5.2832885443173465,0.9749480339511519,0.5444234404536863,0.810723947478585,0.7192692857928911,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER → GREEN REGENCY TEACUP AND SAUCER
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03895455302147494,0.05304922035403141,0.030242494867099495,0.7763532763532764,14.634584093266103,1.0,0.02817598620007047,4.234136607079428,0.9694325212115241,0.48966756513926324,0.76382434182024,0.6732184791808222,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,PINK REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER 
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05304922035403141,0.03895455302147494,0.030242494867099495,0.5700836820083681,14.6345840932661,1.0,0.02817598620007047,2.235424446013308,0.9838618127666208,0.48966756513926324,0.5526576611509211,0.6732184791808222,ROSES REGENCY TEACUP AND SAUCER ,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER  → PINK REGENCY TEACUP AND SAUCER
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.041618112202430495,0.04983075301037678,0.030020531602019864,0.7213333333333334,14.475665924276171,1.0,0.027946669732102403,3.4096982547474526,0.9713440553122343,0.4887082204155375,0.7067189160777901,0.6618916109873794,GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,GARDENERS KNEELING PAD CUP OF TEA  → GARDENERS KNEELING PAD KEEP CALM 
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04983075301037678,0.041618112202430495,0.030020531602019864,0.6024498886414253,14.47566592427617,1.0,0.027946669732102403,2.410719706560833,0.9797397172982303,0.4887082204155375,0.585186117955366,0.6618916109873794,GARDENERS KNEELING PAD KEEP CALM ,GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM  → GARDENERS KNEELING PAD CUP OF TEA 
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.050108207091726316,0.03734531934964763,0.026580100993285612,0.5304540420819491,14.204030152093322,1.0,0.024708793997406817,2.050182020347331,0.9786350960458428,0.4366453965360074,0.5122384305025827,0.621096263240083,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG → CHARLOTTE BAG PINK POLKADOT
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03734531934964763,0.050108207091726316,0.026580100993285612,0.711738484398217,14.20403015209332,1.0,0.024708793997406817,3.295243178491073,0.9656603397574783,0.4366453965360074,0.6965322600385715,0.621096263240083,CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT → RED RETROSPOT CHARLOTTE BAG
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.05171744076355363,0.05304922035403141,0.038843571388935134,0.7510729613733906,14.158039578357608,1.0,0.03610000147772281,3.8041298561639785,0.9800546717604475,0.5892255892255893,0.7371277958927556,0.741645267297574,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER → ROSES REGENCY TEACUP AND SAUCER 
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.05304922035403141,0.05171744076355363,0.038843571388935134,0.7322175732217574,14.158039578357608,1.0,0.03610000147772281,3.541242682148605,0.981433008245783,0.5892255892255893,0.7176132533810808,0.741645267297574,ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER  → GREEN REGENCY TEACUP AND SAUCER
frozenset({'STRAWBERRY CHARLOTTE BAG'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.03734531934964763,0.050108207091726316,0.025414793851617556,0.6805349182763745,13.581306491980671,1.0,0.02354348685573876,2.973382216871015,0.9623070451975637,0.409660107334526,0.6636826593210974,0.5938665732024175,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG → RED RETROSPOT CHARLOTTE BAG
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'STRAWBERRY CHARLOTTE BAG'}),0.050108207091726316,0.03734531934964763,0.025414793851617556,0.5071982281284607,13.58130649198067,1.0,0.02354348685573876,1.953431857589367,0.9752367461203024,0.409660107334526,0.4880804282397389,0.5938665732024175,RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG → STRAWBERRY CHARLOTTE BAG
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04860995505243882,0.05160645913101382,0.03124132955995783,0.6426940639269407,12.453752393577847,1.0,0.028732741901183724,2.6542899099080897,0.966693861313517,0.45293644408688655,0.623251402845205,0.6240352040064812,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN → ALARM CLOCK BAKELIKE RED 
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05160645913101382,0.04860995505243882,0.03124132955995783,0.6053763440860215,12.453752393577846,1.0,0.028732741901183724,2.4108794054529477,0.9697481863097681,0.45293644408688655,0.5852135956123764,0.6240352040064812,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED  → ALARM CLOCK BAKELIKE GREEN
